start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
107.144.55.140,107.144.55.143,107.144.0.0,St. Petersburg,Florida,US,27.789,-82.6779,33713,America/New_York
108.220.160.36,108.220.160.47,108.220.0.0,Canton,Illinois,US,40.55809,-90.03512,61520,America/Chicago
104.235.113.75,104.235.113.75,104.235.0.0,Sandwich,Illinois,US,41.64586,-88.62174,60548,America/Chicago
103.151.56.24,103.151.56.26,103.151.0.0,Ho Chi Minh City,Ho Chi Minh,VN,10.82302,106.62965,71606,Asia/Ho_Chi_Minh
1.145.252.80,1.145.252.95,1.145.0.0,Austins Ferry,Tasmania,AU,-42.8317,147.1938,7012,Australia/Hobart
104.250.169.0,104.250.170.255,104.250.0.0,London,England,GB,51.50853,-0.12574,EC1A,Europe/London
101.113.169.0,101.113.169.69,101.113.0.0,Sydney,New South Wales,AU,-33.9036,151.1853,2043,Australia/Sydney
108.233.102.0,108.233.102.255,108.233.0.0,Corona,California,US,33.87529,-117.56644,92877,America/Los_Angeles
107.0.81.45,107.0.81.49,107.0.0.0,Denver,Colorado,US,39.73915,-104.9847,80203,America/Denver
106.223.164.121,106.223.164.121,106.223.0.0,Morādābād,Uttar Pradesh,IN,28.83893,78.77684,244001,Asia/Kolkata
105.89.206.209,105.89.206.210,105.89.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
102.185.60.15,102.185.60.15,102.185.0.0,Alexandria,Alexandria,EG,31.20176,29.91582,,Africa/Cairo
1.12.219.32,1.12.219.95,1.12.0.0,Shenzhen,Guangdong,CN,22.54554,114.0683,,Asia/Shanghai
1.22.28.0,1.22.29.255,1.22.0.0,Artist Village,Maharashtra,IN,19.03227,73.04276,400703,Asia/Kolkata
107.142.236.198,107.142.236.255,107.142.0.0,Canton,Ohio,US,40.7598,-81.35,44707,America/New_York
107.0.137.64,107.0.137.78,107.0.0.0,Chicago,Illinois,US,41.85003,-87.65005,60666,America/Chicago
108.210.35.234,108.210.35.235,108.210.0.0,Magnolia,Arkansas,US,33.26707,-93.23933,71753,America/Chicago
102.140.201.28,102.140.201.31,102.140.0.0,Garissa,Garissa,KE,-0.45275,39.64601,,Africa/Nairobi
108.4.183.224,108.4.183.255,108.4.0.0,Roanoke,Virginia,US,37.27097,-79.94143,24011,America/New_York
105.93.168.123,105.93.168.123,105.93.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
108.87.43.208,108.87.43.213,108.87.0.0,Ardmore,Oklahoma,US,34.1566,-97.1792,73401,America/Chicago
101.189.48.196,101.189.48.199,101.189.0.0,Wickham,Western Australia,AU,-20.67474,117.13784,6720,Australia/Perth
106.133.39.170,106.133.39.170,106.133.0.0,Osaka,Ōsaka,JP,34.69374,135.50218,543-0062,Asia/Tokyo
1.158.193.160,1.158.193.163,1.158.0.0,Port Augusta,South Australia,AU,-32.49597,137.77281,5700,Australia/Adelaide
103.147.33.12,103.147.33.13,103.147.0.0,Semarang,Central Java,ID,-6.99306,110.42083,,Asia/Jakarta
106.194.136.0,106.194.136.39,106.194.0.0,Indore,Madhya Pradesh,IN,22.71792,75.8333,452002,Asia/Kolkata
1.157.104.0,1.157.104.223,1.157.0.0,Canberra,Australian Capital Territory,AU,-35.24851,149.05619,2614,Australia/Sydney
102.109.48.192,102.109.48.192,102.109.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
105.93.176.240,105.93.176.244,105.93.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
102.185.8.5,102.185.8.5,102.185.0.0,Zagazig,Sharqia,EG,30.58768,31.502,,Africa/Cairo
105.68.47.130,105.68.47.130,105.68.0.0,Sale,Rabat-Salé-Kénitra,MA,34.0531,-6.79846,,Africa/Casablanca
102.107.103.53,102.107.103.53,102.107.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
104.212.68.20,104.212.68.20,104.212.0.0,Chennai,Tamil Nadu,IN,13.08784,80.27847,600001,Asia/Kolkata
106.101.0.104,106.101.0.107,106.101.0.0,Seoul,Seoul,KR,37.5676,126.9609,03745,Asia/Seoul
106.208.23.254,106.208.23.255,106.208.0.0,Nizāmābād,Telangana,IN,18.35599,78.33651,503112,Asia/Kolkata
101.119.101.132,101.119.101.133,101.119.0.0,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
104.28.103.104,104.28.103.105,104.28.0.0,Des Moines,Iowa,US,41.60054,-93.60911,50307,America/Chicago
106.161.246.85,106.161.246.86,106.161.0.0,Tokyo,Tokyo,JP,35.6895,139.69171,101-8656,Asia/Tokyo
108.175.77.98,108.175.77.101,108.175.0.0,Salina,Kansas,US,38.84028,-97.61142,67402,America/Chicago
104.140.73.120,104.140.73.123,104.140.0.0,Phoenix,Arizona,US,33.44838,-112.07404,85001,America/Phoenix
107.126.33.62,107.126.33.63,107.126.0.0,Hazleton,Pennsylvania,US,40.95842,-75.97465,18201,America/New_York
106.161.103.176,106.161.103.191,106.161.0.0,Kikuchi,Kumamoto,JP,32.9515,130.8237,861-1312,Asia/Tokyo
107.85.78.0,107.85.78.127,107.85.0.0,Sugar Notch,Pennsylvania,US,41.19703,-75.92825,18706,America/New_York
103.171.213.250,103.171.213.250,103.171.0.0,Tachilek,Shan,MM,20.4475,99.88083,,Asia/Yangon
104.6.245.0,104.6.245.255,104.6.0.0,Pahokee,Florida,US,26.82006,-80.66534,33476,America/New_York
