start_ip,end_ip,join_key,asn,domain,name,type,country
2409:869b:c000::,2409:869b:ffff:ffff:ffff:ffff:ffff:ffff,2409:869b:c000::,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
2001:210d::,2001:210d:3fff:ffff:ffff:ffff:ffff:ffff,2001:210d::,AS1299,teliacompany.com,Telia Company AB,isp,SE
2c0f:f0c8::,2c0f:f0c8:3fff:ffff:ffff:ffff:ffff:ffff,2c0f:f0c8::,AS328037,elitehost.co.za,Optify Systems (Pty) Ltd,hosting,ZA
2c0e:1d8::,2c0e:1d8:3fff:ffff:ffff:ffff:ffff:ffff,2c0e:1d8::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
2001:5370:c000::,2001:5370:ffff:ffff:ffff:ffff:ffff:ffff,2001:5370:c000::,AS1273,vodafone.com,Vodafone Group PLC,isp,EU
2a00:3e:8000::,2a00:3e:bfff:ffff:ffff:ffff:ffff:ffff,2a00:3e:8000::,AS3209,vodafone.de,Vodafone GmbH,isp,DE
2a06:3c46:c000::,2a06:3c46:ffff:ffff:ffff:ffff:ffff:ffff,2a06:3c46:c000::,AS1764,nextlayer.at,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,isp,AT
2a09:1cc6:8000::,2a09:1cc6:bfff:ffff:ffff:ffff:ffff:ffff,2a09:1cc6:8000::,AS208574,tubeo-paysdebitche.fr,Communaute de Communes du Pays de Bitche,business,FR
2603:d041:4000::,2603:d041:7fff:ffff:ffff:ffff:ffff:ffff,2603:d041:4000::,AS30600,metronet.com,Metronet,isp,US
2a00:11c0:47::,2a00:11c0:48:ffff:ffff:ffff:ffff:ffff,2a00:11c0::,AS47147,anexia-it.com,ANEXIA Internetdienstleistungs GmbH,business,AT
78.61.0.0,78.61.255.255,78.61.0.0,AS8764,telia.lt,"Telia Lietuva, AB",isp,LT
188.214.232.0,188.214.233.255,188.214.0.0,AS64267,sprious.com,Sprious LLC,hosting,US
2600:4054:4000::,2600:4054:7fff:ffff:ffff:ffff:ffff:ffff,2600:4054:4000::,AS701,verizonbusiness.com,Verizon Business,isp,US
2406:2140:8000::,2406:2140:bfff:ffff:ffff:ffff:ffff:ffff,2406:2140:8000::,AS24202,paktel.net.id,PT. PASIFIKTEL INDOTAMA,business,ID
2001:da8:4025::,2001:da8:402c:ffff:ffff:ffff:ffff:ffff,2001:da8:4000::,AS24353,cernet.edu.cn,CERNET2 IX at Xi'an Jiaotong University,education,CN
2804:8588:8000::,2804:8588:bfff:ffff:ffff:ffff:ffff:ffff,2804:8588:8000::,AS268186,interouro.net.br,InterOuro Telecom,isp,BR
2a05:3447::,2a05:3447:3fff:ffff:ffff:ffff:ffff:ffff,2a05:3447::,AS211289,hampsteadfibre.com,Joshua Leahy,business,GB
2400:4104:8000::,2400:4104:bfff:ffff:ffff:ffff:ffff:ffff,2400:4104:8000::,AS4713,ntt.com,NTT Communications Corporation,isp,JP
41.79.120.0,41.79.123.255,41.79.0.0,AS37376,zain.com,Zain South Sudan,isp,SS
103.157.129.0,103.157.129.255,103.157.0.0,AS146908,intercityfibernetworks.com,INTERCITY FIBER NETWORKS PRIVATE LIMITED,isp,IN
31.3.120.0,31.3.127.255,31.3.0.0,AS31577,prored.es,"Prored Comunicaciones, S.L.",isp,ES
2003:1258::,2003:1258:3fff:ffff:ffff:ffff:ffff:ffff,2003:1258::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
240a:a0a5:c000::,240a:a0a5:ffff:ffff:ffff:ffff:ffff:ffff,240a:a0a5:c000::,AS142815,,,inactive,
240e:d19:8000::,240e:d19:bfff:ffff:ffff:ffff:ffff:ffff,240e:d19:8000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
240c:c1fb:8000::,240c:c1fb:bfff:ffff:ffff:ffff:ffff:ffff,240c:c1fb:8000::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
